The Second Line,https://www.yelp.com/biz/the-second-line-memphis,4.0,304,0,2,"['Cajun/Creole', 'Comfort Food', 'Bars']",306,94,"['Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Masks required']",2144 Monroe Ave,Nikki J.,5.0,12/3/2020,"This is the lunch break you deserve. First score a seat on the patio. Next you'll get a kick off the simple menu, it sets you up for a good time. Then your food arrives and its so good you're not in Memphis anymore, you're in NOLA and the poboy is hot and filling and the vibes are good. Do you have to go back to work? Yes you do, but at least you had this mini-food inspired vacay and you can come back again soon.",1,50,29,37,0
The Second Line,https://www.yelp.com/biz/the-second-line-memphis,4.0,304,0,2,"['Cajun/Creole', 'Comfort Food', 'Bars']",306,94,"['Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Masks required']",2144 Monroe Ave,Robert E.,5.0,11/3/2020,Went last Saturday night with my girlfriend. She had the shrimp po-boy. I had the roast beef. Both with the crispy fries. Service was great as ever.  We have been a few times before Covid and either eat at the bar or at a table. This was the first time on the outside patio. Did not see Chef English this time but in the passed he was there and he always made a point to speak to all guests. Memphis is lucky to have someone who promotes our city and local eateries as Chef Kelly English does. He is just a great guy who serves great food.,0,0,1,0,0
The Second Line,https://www.yelp.com/biz/the-second-line-memphis,4.0,304,0,2,"['Cajun/Creole', 'Comfort Food', 'Bars']",306,94,"['Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Masks required']",2144 Monroe Ave,Diana R.,5.0,7/22/2020,"Great drinks, great food, great service every time. Oh and the patio!!  Unique menu and cocktails.",0,119,1,1,0
The Second Line,https://www.yelp.com/biz/the-second-line-memphis,4.0,304,0,2,"['Cajun/Creole', 'Comfort Food', 'Bars']",306,94,"['Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Masks required']",2144 Monroe Ave,Roxy M.,5.0,5/2/2021,This is a great spot to eat. They turned the music up and little bit and we really enjoyed ourselves. I come for the food and it is excellent. I love the bbq shrimp. You must sop the French bread in the sauce. The cheese grits and the Crawfish pimento cheese fries are a must!!!,4,63,36,98,0
The Second Line,https://www.yelp.com/biz/the-second-line-memphis,4.0,304,0,2,"['Cajun/Creole', 'Comfort Food', 'Bars']",306,94,"['Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Masks required']",2144 Monroe Ave,Youngchai S.,3.0,4/8/2021,"Food is tasty, but overpriced.BBQ Shrimp: best item that I tasted. It comes with bread, and the shrimp has a little kick to it. So delicious! But honestly way overpriced for the amount that was served. They do give you more bread if you ask. Shrimp Po-boy: Not enough shrimp! I dont like it when you have 1.5 bites left on the po-boy and there's no more shrimp. Oyster Po-boy: In my opinion, better than the shrimp. The oysters fried up were delicious. Red beans&rice: this is my first time having this dish, and it was delicious! My Southern friends were telling me the rice should have been cooked WITH the beans. Not separately. But it was delicious nonetheless. Note: there is only valet parking. We went there with 6 ppl and parking was a nightmare.",1,0,31,31,1
The Second Line,https://www.yelp.com/biz/the-second-line-memphis,4.0,304,0,2,"['Cajun/Creole', 'Comfort Food', 'Bars']",306,94,"['Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Masks required']",2144 Monroe Ave,Christy W.,3.0,3/28/2021,"The food is good- but the price isn't. For example- I had the BBQ shrimp that was really delicious- with cheese grits.  The shrimp is listed as $15 but cost $18.My friend ordered a shrimp po boy without the bread- and they added catfish and made a $18 lunch a $30 lunch. Then the waitress ran into a friend from high school and they were screaming- I get it but seriously- this is your place of work.  As far as the food- it was good.  The BBQ shrimp was great, the grits were nothing special.  The friend shrimp was good.  Catfish nothing tasty.  The drinks were good- but all a little expensive for what you are getting.  The cheese fries were pretty unique and tasty.  I would ask about pricing if I returned bc I feel like we were up sold but not told that we were being up sold.Solid fast and friendly service.   I just feel like the price and the food don't match - that was not a $100 brunch.",8,53,167,376,1
The Second Line,https://www.yelp.com/biz/the-second-line-memphis,4.0,304,0,2,"['Cajun/Creole', 'Comfort Food', 'Bars']",306,94,"['Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Masks required']",2144 Monroe Ave,Janie D.,5.0,5/26/2021,Sunday brunch was great!  The atmosphere was very inviting and overall the service was outstanding.,0,0,4,0,0
The Second Line,https://www.yelp.com/biz/the-second-line-memphis,4.0,304,0,2,"['Cajun/Creole', 'Comfort Food', 'Bars']",306,94,"['Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Masks required']",2144 Monroe Ave,Monica J.,1.0,2/19/2020,"I've been to second line more times than I can count and was super excited to introduce a friend to the restaurant after I had spoken so highly of it. Unfortunately, the experience was so poor that not only will I not be back but my friend wanted to try Iris(the restaurant next door owned by the same chef) that she's not going there either.To make it easier I'll number the issues we encountered:1. 10 mins before we were acknlowdged either at the bar or at the hostess stand2. When we got our table we waited almost 15mins before our waitress was able to get to us3. We placed our orders: 2 shrimp poboys, 1 catfish poboy with onion ring sides, 1 order of the pimento sausage fries, and barbecue shrimp. It took over an hour to get our food, we were 5 mins from walking out when the waitress said our food was coming. We arrived at the restaurand at 12:45pm and didnt get our food until after 2pm. 4. The food came out with the wrong sides. If you've every had a shrimp poboy any where I'm sure it didnt come out with 6 pieces of shrimp with a cost of $16.5. The kicker to all of this is despite the poor service and delay in food I tipped 18% because I tip regardless. When I checked my account, the restaurant charged me a different amount and increased the tip amount!The issue isn't the amount because its negligible and would cost me more time to go through and get it fixed but its the principle of knowing you cant trust the merchant you give your card.Never again Second Line, fraud, poor service, and lackluster food.",1,144,9,10,0
The Second Line,https://www.yelp.com/biz/the-second-line-memphis,4.0,304,0,2,"['Cajun/Creole', 'Comfort Food', 'Bars']",306,94,"['Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Masks required']",2144 Monroe Ave,Will s.,5.0,4/24/2021,A little expensive but very tasty food nonetheless. My friend and I sat at the bar and the bar tender was very helpful all night. She recommended some very tasty drinks. Will visit again someday.,0,0,16,2,0
The Second Line,https://www.yelp.com/biz/the-second-line-memphis,4.0,304,0,2,"['Cajun/Creole', 'Comfort Food', 'Bars']",306,94,"['Sit-down dining', 'Outdoor seating', 'Social distancing enforced', 'Staff wears masks', 'Masks required']",2144 Monroe Ave,John R.,3.0,2/13/2021,I went to Second Line twice in one week. The first time was terrific. Both the food/drinks and the service. I couldn't wait to return. My second visit a few  days later was very disappointing. I guess it depends on who is working the day you visit. Food and drinks both subpar and service not the best. I'll be in no hurry to return.,0,0,4,1,0
